filename, language, JavaScript, HTML, CSS, YAML, comment, blank, total
c:\Users\matthew.johnson\Desktop\matt110111.github.io\_config.yml, YAML, 0, 0, 0, 1, 0, 0, 1
c:\Users\matthew.johnson\Desktop\matt110111.github.io\boid.js, JavaScript, 180, 0, 0, 0, 17, 31, 228
c:\Users\matthew.johnson\Desktop\matt110111.github.io\index.html, HTML, 0, 19, 0, 0, 0, 5, 24
c:\Users\matthew.johnson\Desktop\matt110111.github.io\octree.js, JavaScript, 223, 0, 0, 0, 29, 36, 288
c:\Users\matthew.johnson\Desktop\matt110111.github.io\plane.js, JavaScript, 24, 0, 0, 0, 0, 2, 26
c:\Users\matthew.johnson\Desktop\matt110111.github.io\ray.js, JavaScript, 44, 0, 0, 0, 1, 5, 50
c:\Users\matthew.johnson\Desktop\matt110111.github.io\sketch.js, JavaScript, 107, 0, 0, 0, 0, 22, 129
c:\Users\matthew.johnson\Desktop\matt110111.github.io\style.css, CSS, 0, 0, 21, 0, 2, 10, 33
Total, -, 578, 19, 21, 1, 49, 111, 779
